,stop_code,stop_name,stop_lat,stop_lon,geometry
915,103664,Lodge Rd at Meadow Rd,50.03467,-119.39688,POINT (-119.39688 50.03467)
916,103685,Oceola Rd at Pretty Rd,50.05535,-119.41125,POINT (-119.41125 50.05535)
917,103627,Webber Rd at Salloum Rd,49.83,-119.6532,POINT (-119.6532 49.83)
918,103623,Webber Rd at Scottstown Rd,49.83283,-119.65316,POINT (-119.65316 49.83283)
919,103617,Webber Rd at Aberdeen Rd,49.8354,-119.65331,POINT (-119.65331 49.8354)
920,103616,Webber Rd at Gorman Rd,49.83695,-119.65332,POINT (-119.65332 49.83695)
921,103665,Huston Rd at Walker Rd,49.79564,-119.69837,POINT (-119.69837 49.79564)
922,103669,Huston Rd at Shaw Rd,49.79477,-119.70139,POINT (-119.70139 49.79477)
923,103702,Princeton Ave at Lakeview Ave,49.76999,-119.7425,POINT (-119.7425 49.76999)
924,103704,Princeton Ave at Columbia Ave,49.76867,-119.74559,POINT (-119.74559 49.76867)
925,140158,K.L.O. Rd at Benvoulin Rd East Side,49.86109,-119.45483,POINT (-119.45483 49.86109)
926,103848,Country Club Dr at Quail Ridge Blvd,49.96292,-119.39911,POINT (-119.39911 49.96292)
927,103849,Country Club Dr at Via Centrale,49.95503,-119.39992,POINT (-119.39992 49.95503)
928,103853,1800 Blk Country Club Dr,49.953,-119.39964,POINT (-119.39964 49.953)
929,103858,1700 Blk Country Club Dr,49.95116,-119.39982,POINT (-119.39982 49.95116)
930,103852,1800 Blk Country Club Dr,49.95311,-119.39954,POINT (-119.39954 49.95311)
931,103845,Country Club Dr at Via Centrale,49.95498,-119.39983,POINT (-119.39983 49.95498)
932,103851,Quail Ridge Blvd at Country Club Dr,49.96253,-119.39818,POINT (-119.39818 49.96253)
933,103392,Rutland Rd N at Fitzpatrick Rd,49.90671,-119.38689,POINT (-119.38689 49.90671)
934,140240,Springfield Rd at Leckie Rd,49.87982,-119.4261,POINT (-119.4261 49.87982)
935,102994,Parkinson Way at Ufton Crt,49.8831,-119.45592,POINT (-119.45592 49.8831)
936,102993,Parkinson Way at Ufton Crt,49.88315,-119.45636,POINT (-119.45636 49.88315)
937,140249,Innovation Dr at Spectrum Crt,49.94857,-119.38921,POINT (-119.38921 49.94857)
938,140248,Innovation Dr at Spectrum Ave,49.94787,-119.38919,POINT (-119.38919 49.94787)
939,140250,Innovation Dr at Fleet Ave,49.94975,-119.38983,POINT (-119.38983 49.94975)
940,140251,Innovation Dr at Fleet Crt,49.95003,-119.38966,POINT (-119.38966 49.95003)
941,102985,Harvey Ave at Parkinson Stn,49.88182,-119.45904,POINT (-119.45904 49.88182)
942,140252,Valley at Glen Park,49.91716,-119.4362,POINT (-119.4362 49.91716)
943,103203,Valley at Longhill,49.91993,-119.43419,POINT (-119.43419 49.91993)
944,140247,South Perimeter Way at Mountainside Dr,49.78899,-119.52113,POINT (-119.52113 49.78899)
945,140254,Rutland Rd N at McIntosh Rd,49.89226,-119.38696,POINT (-119.38696 49.89226)
946,140256,Steele Rd at Arbor View Dr,49.80637,-119.4723,POINT (-119.4723 49.80637)
947,140259,Acland Rd at Old Vernon Rd,49.91874,-119.38408,POINT (-119.38408 49.91874)
948,140258,Sutherland Ave at Chandler St,49.88028,-119.46876,POINT (-119.46876 49.88028)
949,140269,Valley Rd at Drysdale Blvd,49.92323,-119.43303,POINT (-119.43303 49.92323)
